,name,trimmed_name
4982,"kingstone companies, inc.",kingstone companies
4984,"athira pharma, inc.",athira pharma
4985,tops holding ii corp,tops holding ii
4986,"youdao, inc.",youdao
4987,"alfi, inc.",alfi
4988,"lender processing services, inc.",lender processing services
4989,"shades holdings, inc.",shades holdings
4991,"resource america, inc.",resource america
4992,"business first bancshares, inc.",business first bancshares
4993,"axon enterprise, inc.",axon enterprise
4994,"apptigo international, inc.",apptigo international
4995,genesis solar corp,genesis solar
4996,smartchase corp.,smartchase
4997,fidelity southern corp,fidelity southern
4998,gentiva health services inc,gentiva health services
4999,"bubblr, inc.",bubblr
5000,"retail properties of america, inc.",retail properties of america
5001,"acumen pharmaceuticals, inc.",acumen pharmaceuticals
5002,ufp technologies inc,ufp technologies
5003,"provident community bancshares, inc.",provident community bancshares
5004,plains all american pipeline lp,plains all american pipeline
5005,"clubcorp holdings, inc.",clubcorp holdings
5006,memsic inc,memsic
5007,"opower, inc.",opower
5008,"real mex restaurants, inc.",real mex restaurants
5009,almost family inc,almost family
5010,smart ventures inc.,smart ventures
5011,macquarie infrastructure corporation,macquarie infrastructure
5012,ply gem holdings inc,ply gem holdings
5013,tanke biosciences corp,tanke biosciences
5014,energy co of minas gerais,energy co of minas gerais
5015,sterling real estate trust,sterling real estate trust
5016,netsuite inc,netsuite
5017,wells real estate fund xi l p,wells real estate fund xi
5018,invesco currencyshares singapore dollar trust,invesco currencyshares singapore dollar trust
5019,stepan company,stepan company
5020,one2one living corp,one2one living
5021,edgen group inc.,edgen group
5022,"whitehorse finance, inc",whitehorse finance
5023,"scripsamerica, inc.",scripsamerica
5024,"fantex, inc.",fantex
5025,oak valley bancorp,oak valley ban
5026,"neuromama, ltd.",neuromama
5027,"caleres, inc",caleres
5028,ricoh co ltd,ricoh co
5029,capitol acquisition corp. iii,capitol acquisition corp. iii
5030,mississippi power company,mississippi power company
5031,burlington coat factory warehouse corp,burlington coat factory warehouse
5032,"shapeways holdings, inc.",shapeways holdings
5033,"deca investments, inc.",deca investments
5034,"light & wonder, inc.",light & wonder
5035,alder biopharmaceuticals inc,alder biopharmaceuticals
5036,invesco currencyshares chinese renminbi trust,invesco currencyshares chinese renminbi trust
5037,highpoint resources corporation,highpoint resources
5038,zamee corp.,zamee
5039,neutra corp.,neutra
5040,fast acquisition corp. ii,fast acquisition corp. ii
5041,"carrols restaurant group, inc.",carrols restaurant group
5042,molson coors beverage company,molson coors beverage company
5043,"utilicraft aerospace industries, inc",utilicraft aerospace industries
5044,"health catalyst, inc.",health catalyst
5045,peets coffee & tea inc,peets coffee & tea
5046,in media corp,in media
5047,radiant oil & gas inc,radiant oil & gas
5048,"nuo therapeutics, inc.",nuo therapeutics
5049,china vantagepoint acquisition co,china vantagepoint acquisition
5050,"endurance international group holdings, inc.",endurance international group holdings
5051,"teradyne, inc",teradyne
5052,motor sport country club holdings inc,motor sport country club holdings
5054,"cavium, inc.",cavium
5055,"stec, inc.",stec
5056,lkq corporation,lkq
5057,wells real estate fund xii lp,wells real estate fund xii
5058,anterix inc.,anterix
5060,bhatt developers & builders inc.,bhatt developers & builders
5062,solar acquisition corp.,solar acquisition
5063,"eastern resources, inc.",eastern resources
5064,arkanova energy corp.,arkanova energy
5065,first priority financial corp.,first priority financial
5066,mountain & co. i acquisition corp.,mountain & co. i acquisition
5067,invesco db commodity index tracking fund,invesco db commodity index tracking fund
5068,"brown & brown, inc.",brown & brown
5069,southeast airport group,southeast airport group
5070,red white & bloom brands inc.,red white & bloom brands
5071,"popeyes louisiana kitchen, inc.",popeyes louisiana kitchen
5072,"gologiq, inc.",gologiq
5073,blackrock tcp capital corp.,blackrock tcp capital
5074,science applications international corporation,science applications international
5075,"rockwell automation, inc.",rockwell automation
5076,polypid ltd.,polypid
5078,"capstone companies, inc.",capstone companies
5079,whiting petroleum corp,whiting petroleum
5080,coupa software inc,coupa software
5081,theron resource group,theron resource group
5082,"weis markets, inc",weis markets
5083,"nu-med plus, inc",nu-med plus
5084,freshworks inc.,freshworks
5085,limitless projects inc.,limitless projects
5086,oncosec medical incorporated,oncosec medical incorporated
5087,universal hospital services inc,universal hospital services
5088,genius group ltd,genius group
5089,cincinnati bell inc.,cincinnati bell
5090,cardinal financial corp,cardinal financial
5091,"bulova technologies group, inc.",bulova technologies group
5092,nextplay technologies inc.,nextplay technologies
5093,"encore capital group, inc.",encore capital group
5094,"world scan project, inc.",world scan project
5095,morgans foods inc,morgans foods
5096,yangtze river port & logistics ltd,yangtze river port & logistics
5097,pantop corp,pantop
5098,quaker chemical corporation,quaker chemical
5099,enhance skin products inc,enhance skin products
5100,elster group se,elster group se
5101,neogen corporation,neogen
5102,sizmek inc.,sizmek
5103,banyan acquisition corp.,banyan acquisition
5104,"petrogress, inc.",petrogress
5105,boston capital tax credit fund ii ltd partnership,boston capital tax credit fund ii ltd partnership
5106,flex ltd.,flex
5107,microstrategy incorporated,microstrategy incorporated
5109,presidential realty corp/de/,presidential realty corp/de/
5110,austerlitz acquisition corporation ii,austerlitz acquisition corporation ii
5111,sierra pacific power co,sierra pacific power
5112,harmony gold mining company limited,harmony gold mining company limited
5113,"v2x, inc.",v2x
5114,kinetik holdings inc.,kinetik holdings
5115,anavex life sciences corp.,anavex life sciences
5116,"azure midstream partners, lp",azure midstream partners
5117,"ya zhu silk, inc.",ya zhu silk
5118,lyondellbasell industries n.v.,lyondellbasell industries n.v.
5119,"core & main, inc.",core & main
5120,aol inc.,aol
5121,"cirrus logic, inc.",cirrus logic
5122,"edgewater bancorp, inc.",edgewater bancorp
5123,parker drilling co /de/,parker drilling co /de/
5124,"yongye international, inc.",yongye international
5125,"aiadvertising, inc",aiadvertising
5126,getnet adquirencia e servicos para meios de pagamento s.a.,getnet adquirencia e servicos para meios de pagamento s.a.
5127,consolidated graphics inc /tx/,consolidated graphics inc /tx/
5128,dune energy inc,dune energy
5129,national steel co,national steel
5130,"live oak bancshares, inc.",live oak bancshares
5131,doers education asean ltd,doers education asean
5132,american learning corp,american learning
5133,"simply, inc.",simply
5134,crestwood midstream partners lp,crestwood midstream partners
5135,randgold resources ltd,randgold resources
5136,"ld holdings, inc.",ld holdings
5137,"qualis innovations, inc.",qualis innovations
5138,exone co,exone
5139,"simon property group acquisition holdings, inc.",simon property group acquisition holdings
5140,"berry global group, inc.",berry global group
5141,huntsman corporation,huntsman
5142,dollar thrifty automotive group inc,dollar thrifty automotive group
5143,federal home loan bank of dallas,federal home loan bank of dallas
5144,perspecta inc.,perspecta
5145,"four corners property trust, inc.",four corners property trust
5146,digital transformation opportunities corp.,digital transformation opportunities
5147,"semler scientific, inc.",semler scientific
5148,"amplitech group, inc.",amplitech group
5149,jaws hurricane acquisition corporation,jaws hurricane acquisition
5150,coast distribution system inc,coast distribution system
5152,covidien plc,covidien pl
5153,mobile mini inc,mobile mini
5154,"dime community bancshares, inc",dime community bancshares
5155,"data vision, inc.",data vision
5156,"freedom holdings, inc.",freedom holdings
5157,"gores technology partners ii, inc.",gores technology partners ii
5158,emeritus corpwa,emeritus corpwa
5159,corazon capital v838 monoceros corp,corazon capital v838 monoceros
5160,"global boatworks holdings, inc.",global boatworks holdings
5161,cenaq energy corp.,cenaq energy
5162,healthcare services acquisition corp,healthcare services acquisition
5163,"lawson software, inc.",lawson software
5165,"cleanspark, inc.",cleanspark
5166,"huixin waste water solutions, inc.",huixin waste water solutions
5167,luther burbank corp.,luther burbank
5168,alpha investment inc.,alpha investment
5169,"sb/rh holdings, llc",sb/rh holdings
5170,"fiscalnote holdings, inc.",fiscalnote holdings
5171,hubbell inc,hubbell
5172,"tennessee gas pipeline company, l.l.c.","tennessee gas pipeline company, l.l."
5173,metalico inc,metalico
5174,ncl corporation ltd.,ncl corporation
5175,"tc bancshares, inc.",tc bancshares
5176,rattler midstream lp,rattler midstream
5177,liquidia corporation,liquidia
5178,"bay bancorp, inc.",bay bancorp
5179,emergent biosolutions inc.,emergent biosolutions
5180,"roper technologies, inc.",roper technologies
5181,dynatronics corporation,dynatronics
5182,"blackbaud, inc.",blackbaud
5183,"geovax labs, inc.",geovax labs
5184,"premier financial bancorp, inc.",premier financial bancorp
5185,quantum computing inc.,quantum computing
5187,cu bancorp,cu ban
5188,doral financial corp,doral financial
5189,"xynomic pharmaceuticals holdings, inc.",xynomic pharmaceuticals holdings
5190,3m company,3m company
5191,abc records management & data storage inc.,abc records management & data storage
5192,un monde international worldwide ltd.,un monde international worldwide
5193,"originclear, inc.",originclear
5194,quiksilver inc,quiksilver
5195,"osiris therapeutics, inc.",osiris therapeutics
5196,steel excel inc.,steel excel
5197,"neoleukin therapeutics, inc.",neoleukin therapeutics
5198,"actavis, inc.",actavis
5199,liberty property trust,liberty property trust
5200,twilio inc.,twilio
5201,superior growth corp,superior growth
5202,"macom technology solutions holdings, inc.",macom technology solutions holdings
5203,"diamond hill investment group, inc.",diamond hill investment group
5204,ironclad encryption corp,ironclad encryption
5205,"master silicon carbide industries, inc.",master silicon carbide industries
5206,health advance inc.,health advance
5207,"glacier worldwide, inc.",glacier worldwide
5208,latamgrowth spac,latamgrowth spa
5209,instride inc,instride
5210,agrieuro corp.,agrieuro
5211,adara acquisition corp.,adara acquisition
5212,synalloy corporation,synalloy
5213,air lease corporation,air lease
5214,industrial income trust inc.,industrial income trust
5215,"personality software systems, inc.",personality software systems
5216,"novabay pharmaceuticals, inc.",novabay pharmaceuticals
5217,"smartag international, inc.",smartag international
5218,"hst global, inc.",hst global
5219,northern star investment corp. ii,northern star investment corp. ii
5221,decarbonization plus acquisition corporation ii,decarbonization plus acquisition corporation ii
5222,litorium group corp.,litorium group
5223,towers watson & co.,towers watson &
5224,vuzix corp,vuzix
5226,"exponent, inc.",exponent
5228,"energy conversion services, inc.",energy conversion services
5229,pepgen inc.,pepgen
5230,bank of commerce holdings,bank of commerce holdings
5231,ml trend-following futures fund l.p.,ml trend-following futures fund
5232,"atel capital equipment fund xi, llc",atel capital equipment fund xi
5234,"petro usa, inc.",petro usa
5235,china sure water (usa) inc.,china sure water (usa)
5236,op bancorp,op ban
5238,pembina pipeline corporation,pembina pipeline
5239,hi-great group holding co,hi-great group holding
5240,"next meats holdings, inc.",next meats holdings
5241,"chart industries, inc.",chart industries
5242,"natera, inc.",natera
5243,"yoshitsu co., ltd",yoshitsu co.
5244,"creatd, inc.",creatd
5246,wells real estate fund viii lp,wells real estate fund viii
5247,capitol bancorp ltd,capitol bancorp
5248,celestica inc.,celestica
5249,river rock entertainment authority,river rock entertainment authority
5250,deep lake capital acquisition corp.,deep lake capital acquisition
5252,overhill farms inc,overhill farms
5253,canopy growth corporation,canopy growth
5255,resonant inc.,resonant
5256,neonode inc.,neonode
5257,"archrock partners, l.p.",archrock partners
